rowname,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,heat_mean_f,heat_median_f,heat_min_f,heat_max_f
urticaria_prev,0.4371929000587548,-0.4507056382499949,0.400713385477011,-0.49994722548846465,0.4531070212220736,0.04243410175071257,0.23470521997707047,-0.26705616028073603,-0.5483115267124913,-0.4087042571160858,0.1876767122982365,0.2932587644633574,0.118990428742128,-0.27428659853264653,-0.34379156510487907,-0.32339816823459794,-0.28603235132692517
q1_urticaria_prev,0.4654291674151667,-0.5039276856797348,0.5951051578598071,-0.3997362051057286,0.22877790483137034,0.01516378446993744,0.05400922090826505,-0.341167342117478,-0.32828430349268484,-0.3969177655970614,0.27553659259433344,0.25299658793015634,-0.1319029867122126,-0.23962636381890187,-0.2959049858699776,-0.28172197818472056,-0.12208295353671943
q2_urticaria_prev,0.4762443876146181,-0.47295347453300873,0.3106408506861091,-0.5232956970055271,0.34376806081309313,0.10087471755395144,0.032883034457589194,-0.2668777399877769,-0.5002372169998847,-0.35801691628347654,0.23789512728396256,0.2960797394789387,0.12861339492603155,-0.23580765303979137,-0.30342984121038163,-0.24516261417616125,-0.20209363183728224
q3_urticaria_prev,0.2393127732644729,-0.2550230521893945,0.2774432333062383,-0.4412820748649687,0.5304970434172525,0.03766114574247423,0.2430163284334796,-0.2880992243696345,-0.5236684577148981,-0.39320019247493926,0.2161412457370724,0.2945175885497488,0.1591913947250191,-0.32400877328742805,-0.39422475086234116,-0.3010864121597261,-0.3772280305420887
q4_urticaria_prev,0.2587214832110275,-0.2542490844251531,0.14999573036491848,-0.2973436237986664,0.4027774512271201,-0.00887555151933716,0.4255116378734276,-0.008405945307422202,-0.4594842476971531,-0.21781692879791933,-0.0861758199524686,0.13604595362233432,0.23199623641702868,-0.12066838596176406,-0.1577386872108116,-0.24215546631175955,-0.2513386130164509
heat_exhaustion_prev,0.17191031287779332,-0.18005677381766927,0.17736463745890232,-0.2404060854025336,0.3323309581244604,0.14326022530047777,0.009321061151140744,-0.16665972837731785,-0.1816075973555746,-0.16329105708316655,0.2565080446529909,0.18809131407607602,0.22164334887727724,-0.18914065392131105,-0.2352135984820594,-0.05522883153864503,-0.23716074281173255
q1_heat_exhaustion_prev,-0.20395071073096713,0.2264908902232605,-0.30039993352341915,0.14210721969336457,-0.0474195159301813,0.21888113963556668,0.05611761666598072,0.18503728340789813,0.05147978518731117,0.07768049900411386,-0.17329710622011896,-0.12066171656480103,0.26413536930521575,-0.01660910190381458,-0.006671098209619026,-0.03335419182349589,-0.08199027301650384
q2_heat_exhaustion_prev,0.20578866676070776,-0.22684925119224286,0.2913475424409991,-0.16295611564959026,0.1875893704895453,0.2230511988623012,0.17019812775902227,-0.04769240070334979,-0.09003254439361545,-0.19060470698159554,0.10728430324739284,0.10619035047072804,0.27737989957862064,-0.21349941752906995,-0.22130640501780502,-0.1716220219698791,-0.14413798159143862
q3_heat_exhaustion_prev,0.023044776640287097,-0.017744366486612383,-0.020897048257410695,-0.17455938101077925,0.27123322245973625,0.035437476576822675,-0.10074176248338369,-0.15739258824406052,-0.17247476284288546,-0.05720409100962715,0.19498532780050018,0.129601865831771,0.07387367625806246,-0.09521316297844919,-0.14735605451478948,0.0192435748692443,-0.1873710335214429
q4_heat_exhaustion_prev,0.08338674185153458,-0.0848232300474641,0.06845638715085135,0.1261239465408318,-0.22039219038579813,-0.2974253935380052,-0.17710646121722273,-0.05977004141879019,0.23811410304921302,0.04524637670245355,0.12441953031983298,0.040388023224388565,-0.23872085542611193,0.25473180979612947,0.2912611923809394,0.31817308565071534,0.1866778963730142
