rowname,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,heat_mean_f,heat_median_f,heat_min_f,heat_max_f
urticaria_prev,0.4371929000587548,-0.4507056382499949,0.400713385477011,-0.49994722548846465,0.4531070212220736,0.04243410175071257,0.23470521997707047,-0.26705616028073603,-0.5483115267124913,-0.4087042571160858,0.1876767122982365,0.2932587644633574,0.118990428742128,-0.27428659853264653,-0.34379156510487907,-0.32339816823459794,-0.28603235132692517
black_urticaria_prev,0.47645588197976996,-0.4955851241697738,0.46746991346940947,-0.5074586172564307,0.5698391067818721,0.10994088529641186,0.16222632260320632,-0.3483603118680334,-0.5601776065002151,-0.4052699995843218,0.43082475689757277,0.33639048586960574,0.014166083777001605,-0.39162411505500416,-0.4689006185997057,-0.3456956883712151,-0.3996135567896466
white_urticaria_prev,0.5870357327651918,-0.5742665794082276,0.3220194482464533,-0.41399651215250227,0.3488030795815341,0.1446443341005977,0.09662395417884763,-0.18357044379283402,-0.39950823139868896,-0.3708933494438711,0.2923606437607215,0.3566893213387212,0.21323523376645762,-0.19309717022443434,-0.21537364966353112,-0.16989839805449475,-0.19673717054550355
heat_exhaustion_prev,0.17191031287779332,-0.18005677381766927,0.17736463745890232,-0.2404060854025336,0.3323309581244604,0.14326022530047777,0.009321061151140744,-0.16665972837731785,-0.1816075973555746,-0.16329105708316655,0.2565080446529909,0.18809131407607602,0.22164334887727724,-0.18914065392131105,-0.2352135984820594,-0.05522883153864503,-0.23716074281173255
black_heat_exhaustion_prev,-0.39346867866876956,0.41269217450524914,-0.4099908565284298,0.20642189583078321,-0.11449311865710798,-0.06935546780121468,-0.007990065028519776,0.16141232808221997,0.2685306985836025,0.19359545586401075,-0.33223258973908515,-0.20154573415669838,0.14894774336729102,0.21094463985272874,0.22738174479818113,0.21331221018062443,0.07780145284431433
white_heat_exhaustion_prev,0.1215252001014727,-0.1326937223959544,0.16318606518183384,-0.09274241463584645,0.20755164137590223,0.010215671824609002,0.22688506526146782,0.009329132147296776,-0.12562064531675987,-0.08083149026393723,0.14299483202721025,0.1322586234428406,0.13614346035273345,-0.07385502662580358,-0.12267141916067689,-0.010271124684516427,-0.054778999009842885
heat_syncope_prev,-0.20902599874326308,0.18873892911372173,-0.004661763596278078,0.14885776007718182,0.06500401617289361,0.1414595208404808,0.35599323919598685,0.276066496673186,0.05900988207375976,-0.007021136822484158,-0.33573912318416704,-0.16415701910480213,0.1447018456933146,-0.08731683164880423,-0.07342169217271349,-0.14791904566093825,-0.07331913969157766
black_heat_syncope_prev,-0.051215408443601125,0.05063249849769438,-0.031805999597917495,0.06294837252248299,0.17872635162116862,0.22380617911898434,0.36965575569809356,0.34745116784693386,-0.0863609972141791,-0.045478087449970776,-0.3705846294496098,-0.18593756777354234,0.2568173209745039,-0.13333812969286243,-0.08685353594041058,-0.25280597775935976,-0.13407682994403472
white_heat_syncope_prev,0.21335201427347172,-0.23999390210287536,0.33565049348599585,-0.020335341687119056,-0.05608963570009863,-0.025278354309350215,-0.2943616673003201,-0.0876439996821517,0.1985220816043097,-0.18072751447704238,0.21447493465988013,0.08389685872918848,-0.07896303639035258,0.1752480516379166,0.11801410309269604,0.34184411162400047,0.2153406997591641
heat_cramps_prev,0.12533551105451202,-0.12081857144002538,0.056239225600459235,-0.031109076704514623,-0.21981184177193797,-0.10179632079181108,-0.27216535934049246,0.04812711683089941,0.14120322893220083,-0.07160857629286065,-0.1452589323697723,-0.07447540564414076,-0.13454696374698052,0.17035062464240516,0.19326403400335943,0.10566792493311405,0.22128111335949577
black_heat_cramps_prev,0.07678331817762887,-0.06060931830075002,-0.05923876934211167,0.04766112461343805,-0.2930403736258245,-0.07734524208124358,-0.3080838430077781,0.10746472318341643,0.20569691396096784,-0.008523003793767253,-0.1689828206456121,-0.1135206808833621,-0.14857208643840988,0.22633035285659625,0.25870578226700713,0.16852715256711298,0.29386838894441936
