rowname,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,09-127_mean,09-63_mean,17-127_mean,17-63_mean,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a
all_effects_heat_prev,0.09952108431824253,0.07925973880593784,0.2802330348355981,-0.033184370699545766,0.09130220452303342,0.051525579569303925,0.08994446356225345,0.09026960259615337,0.10347486597483109,0.10616682687615234,0.14814991334144695,0.1472248624561557,-0.2124494497888864,-0.2124494497888864,-0.1958367633736565,-0.14955779466595212,-0.1465949794996752,0.14045980620633203,-0.05668901932326816,0.07194980253500383,-0.007797031046419424,0.16724816217247856,0.19727333230311997,0.23690785472237488,0.10845548620085788,0.051770505243308326,0.06661866852126498,-0.006535849453092808,0.3036933765954654
medicaid_all_effects_heat_prev,0.22600992509650691,0.23081005783472974,0.03619453297885686,0.22861941466553215,0.18425722090956279,0.21749892321584727,-0.01375455073010725,0.15650639173937372,0.1329054288445712,0.17972886350204367,-0.06525162121231219,0.14271768388456013,-0.25386578247916625,-0.25386578247916625,-0.2904501747295052,-0.26737731181734603,-0.12916870174818884,0.1431406996004214,-0.1877909845148647,0.1915591208705109,-0.12257871737254823,-0.1730338394401811,0.2287353849251374,0.13962716851865953,0.06421267903776322,0.15045024856282546,-0.14594160443510565,-0.11877457848589826,-0.07223334335412698
not_medicaid_all_effects_heat_prev,0.07861733707338342,0.057020472200096414,0.3285909840657561,-0.0731749557512541,0.09840463354710273,0.039828207980797524,0.15919926013071542,0.06585963548223478,0.14642292719628017,0.12790751947417212,0.26374109447468735,0.15269759218591114,-0.16130946456839568,-0.16130946456839568,-0.15215031130392895,-0.11806741239171091,-0.1414022143997786,0.13028760906838596,-0.01771480156145351,0.106733935036337,-0.04684758511381558,0.18543272830202912,0.13493379511729447,0.26957179924433855,0.15800126400514705,0.11616641765885868,0.028109071586251002,-0.0705099136072515,0.3143319874888805
commercial_all_effects_heat_prev,-5.215628708039229e-4,0.030611410616777232,-0.09979368569335237,-0.08159605364868595,0.06444344652373683,0.020581667325461805,-0.08050786876324308,-0.09499740583117312,0.04310198237991474,0.055766959761338726,-0.0494368861752173,-0.09733021776322463,0.0405900437311229,0.0405900437311229,0.0025293392848785164,0.0015857610226172032,-0.07519955482647392,0.05797736102172924,0.06963291797996285,0.151787626123359,0.003675656099422474,0.07427441947858143,0.40181991781250204,0.24039674073720654,0.042457284736030505,-0.01662793829205283,-0.2924026110053094,-0.23435576167637898,0.02820830482428678
kidney_disease_prev,-0.04949932517265471,-0.03393102648137565,-0.0986257476101703,-0.07830591081653294,0.04309428730076598,0.002785852346142393,-0.18394937766074385,-0.02773168911311158,0.04890824572624189,0.06585277711771698,-0.11725457999937447,0.11486300865316067,-0.04054829192741275,-0.04054829192741275,-0.07259736569380813,0.005285670250261022,-0.7362541687060133,0.7530975869413348,-0.6237090077649766,0.3427290365024971,-0.10012008794219857,0.4429248362876601,0.38453497953129007,0.5257754123438247,0.13668475696796178,0.3125988537516705,-0.709283354719024,-0.6725193841978908,0.5594764221568401
medicaid_kidney_disease_prev,0.44771867169459856,0.43873713550683396,0.38840308960232495,0.441175063932973,0.4998441295916759,0.49171070235125813,0.3223579223630289,0.5208429022652725,0.47419522262307406,0.5114645226597292,0.27027328873496137,0.5544628908424672,-0.6045661565497248,-0.6045661565497248,-0.5838630322161209,-0.5243277600639447,-0.3157466990583879,0.3323405254969772,-0.33413590413117694,0.7463088749478954,-0.6087597576875919,0.2414699057820059,0.4004188028415241,0.6123379517351735,0.6555531473870115,0.7132298772907173,-0.3412348476453213,-0.5898391540085819,0.31860453613410417
not_medicaid_kidney_disease_prev,0.10618376323926904,0.12829142554179998,-0.003569506475420268,0.05876983204144084,0.20594572911872136,0.1679088412486289,-0.07113185669709167,0.0887321417944743,0.21181671638246863,0.23092005578970595,0.013325281767585946,0.2460943740947044,-0.15554169787768304,-0.15554169787768304,-0.22580606499082528,-0.15429125431933108,-0.7912185200913813,0.8061202826766521,-0.6475153142683736,0.5736305911750802,-0.24126288717552186,0.30929468865992105,0.47175625959611084,0.6591896158245701,0.2901526063985898,0.5351894706911893,-0.8446222582046448,-0.8397162435940086,0.44770856664378433
commercial_kidney_disease_prev,0.1537844471018864,0.18980918803018296,0.008233069590134836,0.06287382014037712,0.21539033504095906,0.17215958162892023,-0.029682868696277318,-0.008732738572484052,0.2340805425275483,0.24639523805191355,0.07438906653575973,0.22329556965919434,-0.11910766055531599,-0.11910766055531599,-0.21273440297935012,-0.16586312152864838,-0.8478037277200436,0.8440484710751336,-0.5740699911279713,0.6197609853807184,-0.1589192757893129,-0.08200376158702817,0.5005559505579119,0.6390408212409807,0.24714471027327742,0.6626335921073983,-0.819196169472826,-0.7787288316832554,0.14627765573193863
copd_prev,0.5949311932500566,0.6148021213659183,0.30628932023634947,0.6212376701821027,0.6359330513029939,0.6052515060518732,0.20236487752188753,0.49359512500334457,0.6108271414557428,0.640667347991157,0.2947150429797232,0.6240505995834766,-0.6587278216604592,-0.6587278216604592,-0.723782160285791,-0.6810455603846861,-0.24314135932472597,0.27174801685501976,-0.3698954320435355,0.7196765609786003,-0.43773360991010873,0.10316504834361291,0.5547222878491227,0.8404323122916465,0.4591259386156655,0.6564228961513627,-0.7886575493762442,-0.8034934416423833,0.30886461168047824
medicaid_copd_prev,0.6077060983032198,0.6133850649890792,0.42504746679390226,0.5959495813683263,0.6240114020527423,0.5835640233782367,0.28253822210791174,0.6377570386802626,0.6044083204813876,0.6257663956260535,0.3257086581593858,0.6962440115579083,-0.6916835914494882,-0.6916835914494882,-0.7286011591710155,-0.6732233458924478,-0.1348040934200438,0.15922351559343104,-0.2659636805794389,0.72858672648571,-0.7008997627947996,0.16336112339469921,0.43003433427146714,0.6755189056139481,0.5905835016413253,0.647960388424566,-0.46319683116669563,-0.583493786034439,0.2847389211651531
