rowname,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,heat_mean_f,heat_median_f,heat_min_f,heat_max_f
urticaria_prev,0.5696257075949601,-0.5844938924847833,0.5029632665036669,-0.28267581063683384,0.06307314186273091,-0.15202172788941082,-0.1135956974854844,-0.3655836145488761,-0.1078522620174806,-0.35876835934894424,0.4581744238290305,0.2928755592455319,-0.2849138385346589,0.05200427429233528,-0.008458193664188022,0.11092159817789414,0.13239524781401815
thirteen_urticaria_prev,0.30814256306285753,-0.35490076078622435,0.5426379321603055,-0.23947398734909361,-0.014580356699094587,0.14353321009535594,-0.25120468313687244,-0.38432386320176176,-0.06492777461088309,-0.2745673910976543,0.43900742127533254,0.22031043032731362,-0.2741159873563823,-0.26196511189198024,-0.27015068816523063,-0.17644468691538626,-0.05970866018539837
fourteen_urticaria_prev,0.19252392689494152,-0.14748780180367446,-0.17985514412329004,-0.11762776633799375,0.27638891855066994,-0.0922509080379985,0.3514477997879157,0.1271632970557653,-0.25390484092636983,-0.11216740577928806,-0.08161151695180639,0.04501944189917312,0.06593650011104073,-0.0322515685580243,-0.0576260108224929,-0.08272236408040826,-0.11297654739230344
fifthteen_urticaria_prev,0.007385419400761956,-0.01987106572265652,0.09242857580674277,0.04935642774060278,-0.05417476357712344,-0.05233029882395843,0.2447814745148997,0.11574488290282055,0.027093654437280068,-0.10135512163652653,-0.2726228596454619,-0.08161481314376635,0.062440436423161355,0.18678581902411434,0.1714591646749758,0.02400753459175651,0.18592881853516352
sixteen_urticaria_prev,0.19089592339783107,-0.20321263384236662,0.21980859807110395,-0.16679580417600445,-0.0049247380434630185,-0.01412405529036806,-0.19932617210838457,-0.39395464776927097,0.038123374959547165,-0.2255952677079173,0.3435213961359663,0.16556328598003694,-0.03682705984387818,-0.07220658156058049,-0.11038488592261542,0.054183949130770306,0.056599745946281636
seventeen_urticaria_prev,0.4183959411323711,-0.4317271578122558,0.3862763933148751,-0.14307799884972766,-0.07217257507073635,-0.34437019328594,-0.28092997520357443,-0.2640535409007153,0.035916463223588733,-0.123127399225033,0.36796218394813474,0.1979092145701913,-0.42967206656501045,0.23964141603270006,0.19862657843738404,0.252840109761234,0.2263550294881348
eighteen_urticaria_prev,0.41419446061457216,-0.4104030536719418,0.26367333800164683,-0.11037836043663397,0.009811517553904487,-0.048545517043708956,-0.14828892223679344,-0.15235482514835563,-0.03770001617729858,-0.1292561146193054,0.39431568377360554,0.22462258349228423,-0.09314270370578737,0.15624999002715523,0.11568568351982433,0.3087629500264126,0.11549139760153845
heat_exhaustion_prev,-0.33854966485003496,0.3130705614849874,-0.0591172300978384,0.18340574003606908,-0.13098175018246874,-0.10158720229978459,-0.04104053407900208,0.03047452994088433,0.08797296124847856,0.29603055034029524,-0.006656321925077268,-0.056735333001384565,-0.06568408821747167,-0.033478095823344864,-0.014230458073225202,0.10735740411162556,-0.0633426738954552
thirteen_heat_exhaustion_prev,-0.20185416675106738,0.21247268870500977,-0.21561792283715062,0.165633438645359,-0.2740496798191204,-0.12231087766685773,-0.13579820571372614,0.10397523751003439,0.1900123562422055,0.28666462657808567,-0.04117900487855325,-0.053130307597343836,-0.07506963109794995,0.2116378777319706,0.19086385796440544,0.3153529343505818,0.18002153362434006
fourteen_heat_exhaustion_prev,0.1345923337845656,-0.14288414755553192,0.15223683650351857,-0.04447913422238393,0.2031920861448565,0.0087103737001851,0.09594209869108458,-0.04620479255550207,-0.13025359419802143,-0.12036377961781931,-0.015842992097617605,0.059580122796730584,-0.0011123342876261286,-0.09377921638922858,-0.06930186849198536,-0.1574537149493648,-0.04769166178371051
